Batch Size: 500000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.003321 seconds
Median: 0.003274 seconds
Std Dev: 0.000350 seconds
Min: 0.003013 seconds
Max: 0.004283 seconds

=== NN Inference Timing ===
Average: 0.002716 seconds
Median: 0.002628 seconds
Std Dev: 0.000149 seconds
Min: 0.002569 seconds
Max: 0.003062 seconds

Total Average Time: 0.006036 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.003662 | 0.002900 | 0.006561
    2     | 0.003367 | 0.002629 | 0.005995
    3     | 0.003058 | 0.002634 | 0.005691
    4     | 0.004241 | 0.002642 | 0.006883
    5     | 0.003037 | 0.002633 | 0.005670
    6     | 0.003030 | 0.003062 | 0.006092
    7     | 0.003724 | 0.002630 | 0.006354
    8     | 0.003038 | 0.002626 | 0.005664
    9     | 0.003578 | 0.002917 | 0.006495
   10     | 0.003352 | 0.002626 | 0.005977
   11     | 0.003038 | 0.002991 | 0.006029
   12     | 0.003717 | 0.002622 | 0.006340
   13     | 0.003035 | 0.002843 | 0.005878
   14     | 0.003734 | 0.002959 | 0.006693
   15     | 0.003303 | 0.002619 | 0.005922
   16     | 0.003312 | 0.002616 | 0.005928
   17     | 0.004085 | 0.002569 | 0.006654
   18     | 0.003025 | 0.002617 | 0.005642
   19     | 0.003064 | 0.002676 | 0.005739
   20     | 0.003029 | 0.002617 | 0.005646
   21     | 0.003031 | 0.002623 | 0.005655
   22     | 0.003578 | 0.003006 | 0.006584
   23     | 0.003700 | 0.002629 | 0.006328
   24     | 0.003280 | 0.002626 | 0.005905
   25     | 0.003502 | 0.002921 | 0.006423
   26     | 0.003303 | 0.002623 | 0.005927
   27     | 0.003032 | 0.002617 | 0.005649
   28     | 0.003023 | 0.002621 | 0.005644
   29     | 0.003042 | 0.002619 | 0.005662
   30     | 0.003013 | 0.002639 | 0.005652
   31     | 0.003059 | 0.002612 | 0.005671
   32     | 0.003043 | 0.002828 | 0.005872
   33     | 0.003268 | 0.003027 | 0.006295
   34     | 0.003723 | 0.002625 | 0.006348
   35     | 0.003338 | 0.002628 | 0.005966
   36     | 0.003462 | 0.002920 | 0.006383
   37     | 0.003312 | 0.002619 | 0.005931
   38     | 0.003033 | 0.002620 | 0.005653
   39     | 0.003336 | 0.002637 | 0.005973
   40     | 0.003049 | 0.002651 | 0.005701
   41     | 0.003029 | 0.003000 | 0.006029
   42     | 0.004132 | 0.002632 | 0.006764
   43     | 0.003034 | 0.002648 | 0.005682
   44     | 0.003763 | 0.002958 | 0.006722
   45     | 0.003339 | 0.002617 | 0.005956
   46     | 0.003031 | 0.002613 | 0.005644
   47     | 0.003991 | 0.002765 | 0.006756
   48     | 0.003040 | 0.002621 | 0.005661
   49     | 0.003022 | 0.002638 | 0.005660
   50     | 0.003018 | 0.002614 | 0.005633
   51     | 0.003029 | 0.002619 | 0.005648
   52     | 0.003321 | 0.002932 | 0.006253
   53     | 0.003804 | 0.002633 | 0.006437
   54     | 0.003295 | 0.002640 | 0.005935
   55     | 0.003513 | 0.002964 | 0.006477
   56     | 0.003352 | 0.002686 | 0.006038
   57     | 0.003041 | 0.002660 | 0.005702
   58     | 0.003030 | 0.002629 | 0.005659
   59     | 0.003040 | 0.002626 | 0.005666
   60     | 0.003027 | 0.002643 | 0.005670
   61     | 0.003048 | 0.002627 | 0.005675
   62     | 0.003046 | 0.002839 | 0.005885
   63     | 0.003281 | 0.003058 | 0.006339
   64     | 0.003727 | 0.002622 | 0.006349
   65     | 0.003313 | 0.002619 | 0.005932
   66     | 0.003470 | 0.002899 | 0.006369
   67     | 0.003382 | 0.002616 | 0.005998
   68     | 0.003019 | 0.002614 | 0.005633
   69     | 0.003034 | 0.003001 | 0.006035
   70     | 0.003030 | 0.002626 | 0.005656
   71     | 0.003033 | 0.003012 | 0.006046
   72     | 0.003705 | 0.002618 | 0.006323
   73     | 0.003049 | 0.002626 | 0.005675
   74     | 0.003587 | 0.002853 | 0.006440
   75     | 0.003360 | 0.002618 | 0.005977
   76     | 0.003038 | 0.002622 | 0.005661
   77     | 0.004165 | 0.002628 | 0.006793
   78     | 0.003017 | 0.002643 | 0.005660
   79     | 0.003039 | 0.003013 | 0.006051
   80     | 0.003700 | 0.002615 | 0.006315
   81     | 0.003023 | 0.002616 | 0.005639
   82     | 0.003675 | 0.002907 | 0.006582
   83     | 0.003378 | 0.002613 | 0.005991
   84     | 0.003024 | 0.002626 | 0.005649
   85     | 0.004248 | 0.002765 | 0.007013
   86     | 0.003023 | 0.002635 | 0.005658
   87     | 0.003022 | 0.003012 | 0.006034
   88     | 0.003763 | 0.002621 | 0.006384
   89     | 0.003027 | 0.002623 | 0.005651
   90     | 0.003709 | 0.002908 | 0.006617
   91     | 0.003370 | 0.002616 | 0.005986
   92     | 0.003034 | 0.002628 | 0.005661
   93     | 0.004283 | 0.002569 | 0.006853
   94     | 0.003023 | 0.002621 | 0.005644
   95     | 0.003025 | 0.003021 | 0.006046
   96     | 0.003914 | 0.002618 | 0.006532
   97     | 0.003035 | 0.002624 | 0.005659
   98     | 0.003613 | 0.002904 | 0.006517
   99     | 0.003372 | 0.002614 | 0.005986
   100    | 0.003040 | 0.002620 | 0.005661
